Liuk Del Valun - 24/08/2022 17:40:22 | Command raised an exception: AttributeError: 'list' object has no attribute 'split'
Liuk Del Valun - 24/08/2022 17:41:14 | Command raised an exception: AttributeError: 'list' object has no attribute 'split'
Liuk Del Valun - 24/08/2022 17:45:05 | Command raised an exception: TypeError: MusicBot.reload_bot() missing 1 required positional argument: 'ctx'
Liuk Del Valun - 31/08/2022 18:58:03 | Command raised an exception: TypeError: MusicBot.__init__() missing 4 required positional arguments: 'bot', 'prefix', 'volume', and 'bot_name'
Liuk Del Valun - 31/08/2022 19:08:46 | ('playlist name', 'The playlist does not exist.')
Liuk Del Valun - 31/08/2022 19:08:54 | ('playlist name', 'The playlist does not exist.')
Liuk Del Valun - 31/08/2022 19:09:47 | ('playlist name', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=0 chunked=True member_count=2>>)
Liuk Del Valun - 31/08/2022 19:10:36 | ('playlist name', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=0 chunked=True member_count=2>>)
Liuk Del Valun - 31/08/2022 19:11:13 | Command raised an exception: AttributeError: 'tuple' object has no attribute 'strip'
Liuk Del Valun - 31/08/2022 19:12:02 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=0 chunked=True member_count=2>>)
Liuk Del Valun - 31/08/2022 19:12:48 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=0 chunked=True member_count=2>>)
Liuk Del Valun - 31/08/2022 19:13:19 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=0 chunked=True member_count=2>>)
Liuk Del Valun - 31/08/2022 19:15:09 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=0 chunked=True member_count=2>>)
